query_id,window,ring,sector,r_inner_m,r_outer_m,theta_start_deg,theta_end_deg,sc_max_z_m,sc_valid,lower_max_z_m,lower_valid,upper_min_z_m,upper_valid,roof_hides_lower
110,1099,0,0,0.0,1.875,0.0,6.0,0.015271224672376947,1,0.015271224672376947,1,,0,0
110,1099,0,1,0.0,1.875,6.0,12.0,2.994989506593,1,0.013245966156728847,1,2.9934431964323323,1,1
110,1099,0,2,0.0,1.875,12.0,18.0,3.0676091039146756,1,0.008542085517327658,1,2.9943318515582793,1,1
110,1099,0,3,0.0,1.875,18.0,24.0,0.006609258680387529,1,0.006609258680387529,1,,0,0
110,1099,0,4,0.0,1.875,24.0,30.0,0.005464768924572231,1,0.005464768924572231,1,,0,0
110,1099,0,5,0.0,1.875,30.0,36.0,1.9446641057263083,1,1.9446641057263083,1,,0,0
110,1099,0,6,0.0,1.875,36.0,42.0,1.5638870442908637,1,1.5638870442908637,1,,0,0
110,1099,0,7,0.0,1.875,42.0,48.0,0.0008943211089124736,1,0.0008943211089124736,1,,0,0
110,1099,0,8,0.0,1.875,48.0,54.0,3.590010323824885,1,0.0012336519080883787,1,2.997170567223586,1,1
110,1099,0,9,0.0,1.875,54.0,60.0,3.026802622857397,1,0.40141577473390855,1,2.949572302514459,1,1
110,1099,0,10,0.0,1.875,60.0,66.0,,0,,0,,0,0
110,1099,0,11,0.0,1.875,66.0,72.0,,0,,0,,0,0
110,1099,0,12,0.0,1.875,72.0,78.0,3.0206533658645647,1,1.1859320402860338,1,2.943253512183434,1,1
110,1099,0,13,0.0,1.875,78.0,84.0,2.9562066759736503,1,1.1968320242059534,1,2.9473649419909247,1,1
110,1099,0,14,0.0,1.875,84.0,90.0,2.9549064204276285,1,,0,2.94525157194106,1,0
110,1099,0,15,0.0,1.875,90.0,96.0,,0,,0,,0,0
110,1099,0,16,0.0,1.875,96.0,102.0,1.2637010214997466,1,1.2637010214997466,1,,0,0
110,1099,0,17,0.0,1.875,102.0,108.0,2.951496233027707,1,1.0262833382746812,1,2.951496233027707,1,1
110,1099,0,18,0.0,1.875,108.0,114.0,2.9497703071065535,1,,0,2.9497703071065535,1,0
110,1099,0,19,0.0,1.875,114.0,120.0,2.9549633431713414,1,-0.01651580747555782,1,2.94387099001471,1,1
110,1099,0,20,0.0,1.875,120.0,126.0,3.035486287137681,1,-0.012919386001672924,1,2.9470645170062615,1,1
110,1099,0,21,0.0,1.875,126.0,132.0,3.4677812804582517,1,-0.00914536081975103,1,2.944495215034686,1,1
110,1099,0,22,0.0,1.875,132.0,138.0,3.502670640703597,1,-0.00683331420038142,1,3.019368621272885,1,1
110,1099,0,23,0.0,1.875,138.0,144.0,3.545315028398866,1,-0.005208879837913451,1,2.990248423368421,1,1
110,1099,0,24,0.0,1.875,144.0,150.0,3.679326446316882,1,-0.002575444551621353,1,2.989019406592097,1,1
110,1099,0,25,0.0,1.875,150.0,156.0,3.5226078087667183,1,0.0009283650446078788,1,2.989814368784826,1,1
110,1099,0,26,0.0,1.875,156.0,162.0,3.063380181408941,1,0.39751989833117957,1,2.9938208267110915,1,1
110,1099,0,27,0.0,1.875,162.0,168.0,3.027571827232636,1,0.0025641734809971435,1,2.99370293747682,1,1
110,1099,0,28,0.0,1.875,168.0,174.0,0.003101580258293345,1,0.003101580258293345,1,,0,0
110,1099,0,29,0.0,1.875,174.0,180.0,0.0048132138477931215,1,0.0048132138477931215,1,,0,0
110,1099,0,30,0.0,1.875,180.0,186.0,0.007674925273914996,1,0.007674925273914996,1,,0,0
110,1099,0,31,0.0,1.875,186.0,192.0,3.9561588361666677,1,0.004979748646451398,1,2.994365879803176,1,1
110,1099,0,32,0.0,1.875,192.0,198.0,3.9549932650543904,1,0.009491207243340204,1,2.994344651364079,1,1
110,1099,0,33,0.0,1.875,198.0,204.0,3.677017908939157,1,0.41000458028769377,1,2.996090017359591,1,1
110,1099,0,34,0.0,1.875,204.0,210.0,3.0265991411694197,1,0.015822640249490046,1,3.0265991411694197,1,1
110,1099,0,35,0.0,1.875,210.0,216.0,0.015550959189669861,1,0.015550959189669861,1,,0,0
110,1099,0,36,0.0,1.875,216.0,222.0,0.016974492823672877,1,0.016974492823672877,1,,0,0
110,1099,0,37,0.0,1.875,222.0,228.0,0.017569592538109555,1,0.017569592538109555,1,,0,0
110,1099,0,38,0.0,1.875,228.0,234.0,0.0204482184125253,1,0.0204482184125253,1,,0,0
110,1099,0,39,0.0,1.875,234.0,240.0,,0,,0,,0,0
110,1099,0,40,0.0,1.875,240.0,246.0,,0,,0,,0,0
110,1099,0,41,0.0,1.875,246.0,252.0,,0,,0,,0,0
110,1099,0,42,0.0,1.875,252.0,258.0,,0,,0,,0,0
110,1099,0,43,0.0,1.875,258.0,264.0,,0,,0,,0,0
110,1099,0,44,0.0,1.875,264.0,270.0,,0,,0,,0,0
110,1099,0,45,0.0,1.875,270.0,276.0,2.9809034425966727,1,,0,2.9809034425966727,1,0
110,1099,0,46,0.0,1.875,276.0,282.0,3.0643159124974573,1,,0,3.0367583779195497,1,0
110,1099,0,47,0.0,1.875,282.0,288.0,3.049879262962495,1,,0,2.9761346169257457,1,0
110,1099,0,48,0.0,1.875,288.0,294.0,3.0407070177866813,1,,0,2.9960475312242454,1,0
110,1099,0,49,0.0,1.875,294.0,300.0,3.0405296867668485,1,,0,2.9945904464090356,1,0
110,1099,0,50,0.0,1.875,300.0,306.0,3.051184532265853,1,0.01841492388926027,1,2.9970577625525596,1,1
110,1099,0,51,0.0,1.875,306.0,312.0,3.0506166265891976,1,0.019561603856513152,1,2.9948951282419682,1,1
