panel,dataset,condition,metric,value,x,y,stamp
gravity,IH,Native,R@1,69.062500000,,,
gravity,IH,Native,R@5,86.875000000,,,
gravity,IH,+G,R@1,69.375000000,,,
gravity,IH,+G,R@5,86.875000000,,,
gravity,CH,Native,R@1,51.351351351,,,
gravity,CH,Native,R@5,70.270270270,,,
gravity,CH,+G,R@1,64.189189189,,,
gravity,CH,+G,R@5,87.162162162,,,
split,IH,Fixed 2.5 m,R@1,68.437500000,,,
split,IH,Fixed 2.5 m,R@5,87.187500000,,,
split,IH,Adaptive,R@1,69.375000000,,,
split,IH,Adaptive,R@5,86.875000000,,,
split,CH,Fixed 2.5 m,R@1,64.189189189,,,
split,CH,Fixed 2.5 m,R@5,86.486486486,,,
split,CH,Adaptive,R@1,64.189189189,,,
split,CH,Adaptive,R@5,87.162162162,,,
split,H1→H2,Fixed 2.5 m,R@1,48.275862069,,,
split,H1→H2,Fixed 2.5 m,R@5,68.965517241,,,
split,H1→H2,Adaptive,R@1,48.275862069,,,
split,H1→H2,Adaptive,R@5,70.689655172,,,
split,H1→V1,Fixed 2.5 m,R@1,54.385964912,,,
split,H1→V1,Fixed 2.5 m,R@5,80.701754386,,,
split,H1→V1,Adaptive,R@1,54.385964912,,,
split,H1→V1,Adaptive,R@5,82.456140351,,,
trajectory,,map,,,-15.975536157,-5.743572008,1764589672.190732479
trajectory,,map,,,-15.491153427,-6.114147030,1764589672.595852613
trajectory,,map,,,-14.994551041,-6.429602135,1764589673.004482985
trajectory,,map,,,-14.569262480,-6.688554271,1764589673.308333397
trajectory,,map,,,-14.121448168,-6.928992827,1764589673.612173319
trajectory,,map,,,-13.738964376,-7.107207358,1764589673.919526815
trajectory,,map,,,-13.235615381,-7.431527494,1764589674.324654579
trajectory,,map,,,-12.712869783,-7.731842805,1764589674.729774475
trajectory,,map,,,-12.222720261,-8.024283678,1764589675.138415337
trajectory,,map,,,-11.765381258,-8.430888750,1764589675.543535471
trajectory,,map,,,-11.358892176,-8.775388180,1764589675.952654123
trajectory,,map,,,-10.999124807,-9.184235921,1764589676.357776403
trajectory,,map,,,-10.595129796,-9.673431237,1764589676.762896299
trajectory,,map,,,-10.233867757,-10.044757373,1764589677.172017336
trajectory,,map,,,-9.884920215,-10.526160264,1764589677.577137470
trajectory,,map,,,-9.553876133,-10.975022097,1764589677.986259937
trajectory,,map,,,-9.239718288,-11.421030356,1764589678.391378164
trajectory,,map,,,-8.947408495,-11.974490101,1764589678.796498060
trajectory,,map,,,-8.686183906,-12.443057439,1764589679.205618858
trajectory,,map,,,-8.489084231,-12.962320109,1764589679.610738993
trajectory,,map,,,-8.356075802,-13.500416579,1764589680.019866467
trajectory,,map,,,-8.296159689,-13.855790503,1764589680.323719978
trajectory,,map,,,-8.262689781,-14.373532834,1764589680.728839874
trajectory,,map,,,-8.216254197,-14.900110282,1764589681.137960911
trajectory,,map,,,-8.144372043,-15.450955763,1764589681.543081045
trajectory,,map,,,-8.073975084,-16.042856403,1764589681.951734304
trajectory,,map,,,-7.845523697,-16.601645174,1764589682.458142281
trajectory,,map,,,-7.557499180,-17.023501077,1764589682.968058109
trajectory,,map,,,-7.249287828,-17.177401999,1764589683.575742960
trajectory,,map,,,-7.166819117,-17.219212258,1764589684.085664034
trajectory,,map,,,-7.216772615,-17.239192136,1764589700.250212669
trajectory,,map,,,-7.313262352,-17.184728227,1764589700.452772617
trajectory,,map,,,-7.314463197,-16.955028894,1764589700.963064671
trajectory,,map,,,-7.177519161,-16.854838468,1764589701.165628672
trajectory,,map,,,-7.083779440,-16.814371877,1764589701.266908646
trajectory,,map,,,-6.989069379,-16.763937132,1764589701.368188620
trajectory,,map,,,-6.889146162,-16.711291109,1764589701.469468594
trajectory,,map,,,-6.778442289,-16.654498189,1764589701.570748568
trajectory,,map,,,-6.657549837,-16.596593597,1764589701.672028780
trajectory,,map,,,-6.528633631,-16.537025538,1764589701.773308754
trajectory,,map,,,-6.277320064,-16.444056154,1764589701.979858398
trajectory,,map,,,-6.020539809,-16.358061535,1764589702.182421684
trajectory,,map,,,-5.501806622,-16.173786971,1764589702.587541819
trajectory,,map,,,-4.965051648,-16.036227448,1764589702.996717930
trajectory,,map,,,-4.355075822,-15.917912082,1764589703.401841402
trajectory,,map,,,-4.044843339,-15.896286694,1764589703.604401350
trajectory,,map,,,-3.629569874,-15.885679905,1764589703.912328720
trajectory,,map,,,-2.977281402,-15.816662856,1764589704.317453623
trajectory,,map,,,-2.381407922,-15.695232480,1764589704.722573519
trajectory,,map,,,-1.734455737,-15.582204070,1764589705.131815910
trajectory,,map,,,-1.228354979,-15.422574240,1764589705.435655832
trajectory,,map,,,-0.664010785,-15.211327979,1764589705.840775967
trajectory,,map,,,-0.016041772,-15.058212249,1764589706.249422312
trajectory,,map,,,0.579762665,-14.862711854,1764589706.654542446
trajectory,,map,,,1.221477371,-14.663570707,1764589707.063135386
trajectory,,map,,,1.762132977,-14.460689386,1764589707.366975546
trajectory,,map,,,2.237574195,-14.231558793,1764589707.670815468
trajectory,,map,,,2.708016983,-14.026701096,1764589707.978142738
trajectory,,map,,,3.189703699,-13.874115278,1764589708.281993151
trajectory,,map,,,3.732951686,-13.668565659,1764589708.687113285
trajectory,,map,,,4.290219722,-13.524795178,1764589709.096215725
trajectory,,map,,,4.873399923,-13.532888149,1764589709.501335859
trajectory,,map,,,5.113822683,-13.573651094,1764589709.703895807
trajectory,,map,,,5.358061350,-13.660656406,1764589709.910465240
trajectory,,map,,,5.840063111,-13.907538748,1764589710.315598249
trajectory,,map,,,6.305052470,-14.252902381,1764589710.720718384
trajectory,,map,,,6.598430162,-14.521402751,1764589711.028553963
trajectory,,map,,,7.039995403,-14.983853645,1764589711.433676481
trajectory,,map,,,7.472179613,-15.451347138,1764589711.838796616
trajectory,,map,,,7.827729761,-15.906033079,1764589712.247918367
trajectory,,map,,,8.132021883,-16.315188155,1764589712.551758289
trajectory,,map,,,8.550050686,-16.775077860,1764589712.960878372
trajectory,,map,,,8.888062116,-17.227174834,1764589713.366005659
trajectory,,map,,,9.258135135,-17.683234674,1764589713.771125793
trajectory,,map,,,9.541357110,-18.077949671,1764589714.180270433
trajectory,,map,,,9.834105731,-18.568122338,1764589714.585390329
trajectory,,map,,,10.158053953,-19.049492905,1764589714.994524717
trajectory,,map,,,10.400389631,-19.535920410,1764589715.399653435
trajectory,,map,,,10.656046349,-20.103993871,1764589715.804773331
trajectory,,map,,,10.895963925,-20.629368062,1764589716.213895082
trajectory,,map,,,11.115617763,-21.181734678,1764589716.619015217
trajectory,,map,,,11.408627036,-21.732491885,1764589717.027684927
trajectory,,map,,,11.654143155,-22.238361019,1764589717.432817221
trajectory,,map,,,11.909581422,-22.828331989,1764589717.837937117
trajectory,,map,,,12.234214635,-23.330154147,1764589718.246578932
trajectory,,map,,,12.528439310,-23.845889885,1764589718.651698828
trajectory,,map,,,12.861253450,-24.357192360,1764589719.060340405
trajectory,,map,,,13.147117324,-24.817442762,1764589719.465460539
trajectory,,map,,,13.451515567,-25.323424999,1764589719.874584913
trajectory,,map,,,13.755134523,-25.776836415,1764589720.279701948
trajectory,,map,,,14.008477275,-26.252509673,1764589720.684822083
trajectory,,map,,,14.273170410,-26.816206184,1764589721.093962669
trajectory,,map,,,14.525388200,-27.315330264,1764589721.499082804
trajectory,,map,,,14.767554514,-27.878679578,1764589721.908192158
